coin,best_window,best_combo,models,return_pct,combined_score,feature_set,n_features,optimal_features,horizon,gamma,rank,sampler
LINK,200,RF+LGBM,RF+LGBM,0.53,1.4498,D,13,"logret_72h,price_to_sma100h,volatility_12h,gk_volatility_48h,pysr_3,logret_120h,adx_14h,spread_24h_4h,xa_nasdaq_relstr5d,pysr_5,vol_ratio_12_48,minus_di_14h,sma20_to_sma50h",7,0.995,5,Grid
LINK,300,RF+XGB,RF+XGB,1.99,1.3104,D,17,"logret_72h,price_to_sma100h,volatility_12h,gk_volatility_48h,pysr_3,logret_120h,adx_14h,spread_24h_4h,xa_nasdaq_relstr5d,pysr_5,vol_ratio_12_48,minus_di_14h,sma20_to_sma50h,bb_position_20h,pysr_4,xa_eth_usd_relstr5d,price_to_sma50h",7,0.995,6,Grid
LINK,300,XGB+LGBM,XGB+LGBM,6.36,4.9408,D,25,"price_to_sma100h,pysr_4,volatility_12h,bb_position_20h,logret_72h,adx_14h,hour_cos,plus_di_14h,gk_volatility_48h,sma20_to_sma50h,m_nasdaq_chg1d,logret_120h,price_accel_24h,xa_dax_corr10d,logret_24h,pysr_3,xa_eth_usd_relstr5d,xa_nasdaq_relstr5d,price_to_sma20h,vol_ratio_12_48,spread_120h_8h,m_gold_chg10d,spread_24h_4h,logret_48h,logret_6h",8,0.997,1,Grid
LINK,300,RF+XGB,RF+XGB,14.16,3.9146,D,30,"price_to_sma100h,pysr_4,volatility_12h,bb_position_20h,logret_72h,adx_14h,hour_cos,plus_di_14h,gk_volatility_48h,sma20_to_sma50h,m_nasdaq_chg1d,logret_120h,price_accel_24h,xa_dax_corr10d,logret_24h,pysr_3,xa_eth_usd_relstr5d,xa_nasdaq_relstr5d,price_to_sma20h,vol_ratio_12_48,spread_120h_8h,m_gold_chg10d,spread_24h_4h,logret_48h,logret_6h,gk_volatility_14h,spread_240h_24h,minus_di_14h,m_sp500_chg1d,stoch_k_14h",8,0.999,2,Grid
LINK,300,XGB+LGBM,XGB+LGBM,10.28,3.8782,D,25,"price_to_sma100h,pysr_4,volatility_12h,bb_position_20h,logret_72h,adx_14h,hour_cos,plus_di_14h,gk_volatility_48h,sma20_to_sma50h,m_nasdaq_chg1d,logret_120h,price_accel_24h,xa_dax_corr10d,logret_24h,pysr_3,xa_eth_usd_relstr5d,xa_nasdaq_relstr5d,price_to_sma20h,vol_ratio_12_48,spread_120h_8h,m_gold_chg10d,spread_24h_4h,logret_48h,logret_6h",8,0.995,3,Grid
LINK,200,RF+LGBM,RF+LGBM,-0.73,1.3146,D,20,"price_to_sma100h,pysr_4,volatility_12h,bb_position_20h,logret_72h,adx_14h,hour_cos,plus_di_14h,gk_volatility_48h,sma20_to_sma50h,m_nasdaq_chg1d,logret_120h,price_accel_24h,xa_dax_corr10d,logret_24h,pysr_3,xa_eth_usd_relstr5d,xa_nasdaq_relstr5d,price_to_sma20h,vol_ratio_12_48",8,0.997,4,Grid
LINK,150,RF+XGB,RF+XGB,-4.2,0.9663,D,25,"price_to_sma100h,pysr_4,volatility_12h,bb_position_20h,logret_72h,adx_14h,hour_cos,plus_di_14h,gk_volatility_48h,sma20_to_sma50h,m_nasdaq_chg1d,logret_120h,price_accel_24h,xa_dax_corr10d,logret_24h,pysr_3,xa_eth_usd_relstr5d,xa_nasdaq_relstr5d,price_to_sma20h,vol_ratio_12_48,spread_120h_8h,m_gold_chg10d,spread_24h_4h,logret_48h,logret_6h",8,0.995,5,Grid
LINK,300,RF+XGB,RF+XGB,9.07,4.472,D,20,"price_to_sma100h,pysr_4,volatility_12h,bb_position_20h,logret_72h,adx_14h,hour_cos,plus_di_14h,gk_volatility_48h,sma20_to_sma50h,m_nasdaq_chg1d,logret_120h,price_accel_24h,xa_dax_corr10d,logret_24h,pysr_3,xa_eth_usd_relstr5d,xa_nasdaq_relstr5d,price_to_sma20h,vol_ratio_12_48",8,0.997,6,Grid
LINK,250,XGB+LGBM,XGB+LGBM,6.41,2.8173,D,13,"adx_14h,logret_24h,xa_nasdaq_relstr5d,gk_volatility_48h,sma20_to_sma50h,price_to_sma100h,logret_240h,logret_72h,plus_di_14h,volatility_48h,xa_eth_usd_relstr5d,volatility_12h,logret_120h",10,0.995,1,Grid
LINK,72,XGB+LGBM,XGB+LGBM,6.18,1.7321,D,20,"adx_14h,logret_24h,xa_nasdaq_relstr5d,gk_volatility_48h,sma20_to_sma50h,price_to_sma100h,logret_240h,logret_72h,plus_di_14h,volatility_48h,xa_eth_usd_relstr5d,volatility_12h,logret_120h,xa_dax_corr10d,bb_position_20h,spread_240h_24h,stoch_k_14h,hour_cos,price_accel_24h,spread_24h_4h",10,0.995,2,Grid
LINK,72,XGB+LGBM,XGB+LGBM,3.78,1.5236,D,20,"adx_14h,logret_24h,xa_nasdaq_relstr5d,gk_volatility_48h,sma20_to_sma50h,price_to_sma100h,logret_240h,logret_72h,plus_di_14h,volatility_48h,xa_eth_usd_relstr5d,volatility_12h,logret_120h,xa_dax_corr10d,bb_position_20h,spread_240h_24h,stoch_k_14h,hour_cos,price_accel_24h,spread_24h_4h",10,0.999,3,Grid
LINK,72,RF+XGB,RF+XGB,0.48,1.1482,D,13,"adx_14h,logret_24h,xa_nasdaq_relstr5d,gk_volatility_48h,sma20_to_sma50h,price_to_sma100h,logret_240h,logret_72h,plus_di_14h,volatility_48h,xa_eth_usd_relstr5d,volatility_12h,logret_120h",10,0.995,4,Grid
LINK,250,RF+LGBM,RF+LGBM,-2.25,1.1425,D,20,"adx_14h,logret_24h,xa_nasdaq_relstr5d,gk_volatility_48h,sma20_to_sma50h,price_to_sma100h,logret_240h,logret_72h,plus_di_14h,volatility_48h,xa_eth_usd_relstr5d,volatility_12h,logret_120h,xa_dax_corr10d,bb_position_20h,spread_240h_24h,stoch_k_14h,hour_cos,price_accel_24h,spread_24h_4h",10,0.999,5,Grid
LINK,100,XGB+LGBM,XGB+LGBM,-1.03,1.1372,D,25,"adx_14h,logret_24h,xa_nasdaq_relstr5d,gk_volatility_48h,sma20_to_sma50h,price_to_sma100h,logret_240h,logret_72h,plus_di_14h,volatility_48h,xa_eth_usd_relstr5d,volatility_12h,logret_120h,xa_dax_corr10d,bb_position_20h,spread_240h_24h,stoch_k_14h,hour_cos,price_accel_24h,spread_24h_4h,spread_120h_8h,logret_48h,vol_ratio_12_48,price_to_sma20h,rsi_14h",10,0.999,6,Grid
LINK,200,RF+LGBM,RF+LGBM,4.21,2.444,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.995,1,Grid
LINK,200,RF+LGBM,RF+LGBM,2.65,1.9351,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.997,2,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-5.69,0.8871,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.999,3,Grid
LINK,200,RF+LGBM,RF+LGBM,-6.14,0.8636,D,13,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d",12,0.997,4,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-6.8,0.8121,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.997,5,Grid
LINK,250,RF+LGBM,RF+LGBM,-5.05,0.7765,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.995,6,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-1.85,2.2679,D,17,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d",14,0.995,1,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-1.84,2.2527,D,17,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d",14,0.997,2,Grid
LINK,250,RF+LGBM,RF+LGBM,-3.15,1.1534,D,30,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d,xa_sp500_relstr5d,minus_di_14h,spread_120h_12h,spread_24h_4h,fg_chg1d,fg_zscore,rsi_14h,m_eurusd_zscore,m_oil_zscore,sma20_to_sma50h,m_gold_chg10d,spread_120h_8h,volatility_12h",14,0.999,3,Grid
LINK,250,RF+XGB,RF+XGB,-6.79,0.6239,D,10,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h",14,0.999,4,Grid
LINK,100,XGB+LGBM,XGB+LGBM,-10.56,0.336,D,20,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d,xa_sp500_relstr5d,minus_di_14h,spread_120h_12h",14,0.997,5,Grid
LINK,100,XGB+LGBM,XGB+LGBM,-10.43,0.3234,D,20,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d,xa_sp500_relstr5d,minus_di_14h,spread_120h_12h",14,0.995,6,Grid
SOL,150,RF+XGB,RF+XGB,16.27,3.3934,D,20,"pysr_3,logret_120h,pysr_4,price_to_sma100h,sma20_to_sma50h,vol_ratio_12_48,adx_14h,logret_72h,bb_position_20h,hour_cos,hour_sin,atr_pct_14h,logret_8h,price_accel_4h,spread_120h_12h,logret_12h,m_usdjpy_chg10d,m_nasdaq_chg1d,price_to_sma50h,plus_di_14h",5,0.999,1,Grid
