date,BTC_USD,ETH_USD,NASDAQ,SP500,DAX
2023-01-10,17446.29296875,1336.5860595703125,10742.6298828125,3919.25,14774.599609375
2023-01-11,17934.896484375,1387.9327392578125,10931.669921875,3969.610107421875,14947.91015625
2023-01-12,18869.587890625,1417.9384765625,11001.099609375,3983.169921875,15058.2998046875
2023-01-13,19909.57421875,1451.6148681640625,11079.16015625,3999.090087890625,15086.51953125
2023-01-14,20976.298828125,1550.7069091796875,11079.16015625,3999.090087890625,15086.51953125
2023-01-15,20880.798828125,1552.4794921875,11079.16015625,3999.090087890625,15086.51953125
2023-01-16,21169.6328125,1576.83349609375,11079.16015625,3999.090087890625,15134.0400390625
2023-01-17,21161.51953125,1567.8460693359375,11095.1103515625,3990.969970703125,15187.0703125
2023-01-18,20688.78125,1515.5069580078125,10957.009765625,3928.860107421875,15181.7998046875
2023-01-19,21086.79296875,1552.5565185546875,10852.26953125,3898.85009765625,14920.3603515625
2023-01-20,22676.552734375,1659.754150390625,11140.4296875,3972.610107421875,15033.5595703125
2023-01-21,22777.625,1627.1181640625,11140.4296875,3972.610107421875,15033.5595703125
2023-01-22,22720.416015625,1628.382080078125,11140.4296875,3972.610107421875,15033.5595703125
2023-01-23,22934.431640625,1628.2510986328125,11364.41015625,4019.81005859375,15102.9501953125
2023-01-24,22636.46875,1556.604248046875,11334.26953125,4016.949951171875,15093.1103515625
2023-01-25,23117.859375,1611.7110595703125,11313.3603515625,4016.219970703125,15081.6396484375
2023-01-26,23032.77734375,1603.10595703125,11512.41015625,4060.429931640625,15132.849609375
2023-01-27,23078.728515625,1598.156494140625,11621.7099609375,4070.56005859375,15150.0302734375
2023-01-28,23031.08984375,1572.43505859375,11621.7099609375,4070.56005859375,15150.0302734375
2023-01-29,23774.56640625,1646.1556396484375,11621.7099609375,4070.56005859375,15150.0302734375
2023-01-30,22840.138671875,1567.3265380859375,11393.8095703125,4017.77001953125,15126.080078125
2023-01-31,23139.283203125,1586.535400390625,11584.5498046875,4076.60009765625,15128.26953125
2023-02-01,23723.76953125,1641.792724609375,11816.3203125,4119.2099609375,15180.740234375
2023-02-02,23471.87109375,1643.2415771484375,12200.8203125,4179.759765625,15509.1904296875
2023-02-03,23449.322265625,1664.74560546875,12006.9501953125,4136.47998046875,15476.4296875
2023-02-04,23331.84765625,1667.0592041015625,12006.9501953125,4136.47998046875,15476.4296875
2023-02-05,22955.666015625,1631.6458740234375,12006.9501953125,4136.47998046875,15476.4296875
2023-02-06,22760.109375,1616.2470703125,11887.4501953125,4111.080078125,15345.91015625
2023-02-07,23264.291015625,1672.0035400390625,12113.7900390625,4164.0,15320.8798828125
2023-02-08,22939.3984375,1650.716796875,11910.51953125,4117.85986328125,15412.0498046875
2023-02-09,21819.0390625,1546.438232421875,11789.580078125,4081.5,15523.419921875
2023-02-10,21651.18359375,1514.869140625,11718.1201171875,4090.4599609375,15307.98046875
2023-02-11,21870.875,1539.9267578125,11718.1201171875,4090.4599609375,15307.98046875
2023-02-12,21788.203125,1515.03369140625,11718.1201171875,4090.4599609375,15307.98046875
2023-02-13,21808.1015625,1507.1658935546875,11891.7900390625,4137.2900390625,15397.33984375
2023-02-14,22220.8046875,1556.8751220703125,11960.150390625,4136.1298828125,15380.5595703125
2023-02-15,24307.841796875,1673.7459716796875,12070.58984375,4147.60009765625,15506.33984375
2023-02-16,23623.474609375,1640.067626953125,11855.830078125,4090.409912109375,15533.6396484375
2023-02-17,24565.6015625,1694.7833251953125,11787.26953125,4079.090087890625,15482.0
2023-02-18,24641.27734375,1691.8194580078125,11787.26953125,4079.090087890625,15482.0
2023-02-19,24327.642578125,1681.4361572265625,11787.26953125,4079.090087890625,15482.0
2023-02-20,24829.1484375,1702.6751708984375,11787.26953125,4079.090087890625,15477.5498046875
2023-02-21,24436.353515625,1658.036376953125,11492.2998046875,3997.340087890625,15397.6201171875
2023-02-22,24188.84375,1643.231689453125,11507.0703125,3991.050048828125,15399.8896484375
