datetime,usdt_mcap,usdc_mcap,total_stable_mcap
2025-10-17 00:00:00,181409776329.57938,75948741220.90154,257358517550.4809
2025-10-18 00:00:00,181690604096.15802,76033638109.43999,257724242205.59802
2025-10-19 00:00:00,181974341826.86774,75939549186.60498,257913891013.47272
2025-10-20 00:00:00,181983632002.44144,75939618382.20375,257923250384.6452
2025-10-21 00:00:00,181966466928.96762,76201196395.60898,258167663324.5766
2025-10-22 00:00:00,182056845390.38022,76780747878.54977,258837593268.93
2025-10-23 00:00:00,182479294245.7441,76534953556.23419,259014247801.9783
2025-10-24 00:00:00,182583812791.9298,76493628580.56049,259077441372.4903
2025-10-25 00:00:00,182964141441.5654,76326620231.9463,259290761673.51172
2025-10-26 00:00:00,182955826348.95685,76278128433.61526,259233954782.5721
2025-10-27 00:00:00,183191897789.51465,76236838551.97643,259428736341.4911
2025-10-28 00:00:00,183199468540.68066,76159183452.11792,259358651992.79858
2025-10-29 00:00:00,183287874389.86386,76198885072.7698,259486759462.63367
2025-10-30 00:00:00,183390521235.13968,76301584814.62709,259692106049.76678
2025-10-31 00:00:00,183366211111.34683,75950060281.33815,259316271392.685
2025-11-01 00:00:00,183355571992.56003,75912385027.86111,259267957020.42114
2025-11-02 00:00:00,183434428104.09067,75855338093.96507,259289766198.05573
2025-11-03 00:00:00,183457006523.76016,75797588536.42018,259254595060.18036
2025-11-04 00:00:00,183437646536.87018,75556937074.62796,258994583611.49814
2025-11-05 00:00:00,183420827853.5468,75145449692.42545,258566277545.97226
2025-11-06 00:00:00,183473350319.9698,75296518973.28085,258769869293.25064
2025-11-07 00:00:00,183373529053.05545,75451938946.93945,258825467999.9949
2025-11-08 00:00:00,183390255204.8163,75779329530.51295,259169584735.32928
2025-11-09 00:00:00,183418028030.36932,75700645708.50941,259118673738.87872
2025-11-10 00:00:00,183426322660.04382,75757366577.00575,259183689237.04956
2025-11-11 00:00:00,183465216167.62888,76155747955.87144,259620964123.5003
2025-11-12 00:00:00,183429112491.61316,75967424757.97282,259396537249.586
2025-11-13 00:00:00,184005021987.05792,76052521919.11623,260057543906.17413
2025-11-14 00:00:00,183904959047.3268,75578542259.78708,259483501307.1139
2025-11-15 00:00:00,183909651707.65637,74989995354.03566,258899647061.69202
2025-11-16 00:00:00,183963683697.83734,74928978465.23138,258892662163.06873
2025-11-17 00:00:00,183926036215.10297,74854938591.16776,258780974806.27072
2025-11-18 00:00:00,183853937016.8522,74892956509.57384,258746893526.42603
2025-11-19 00:00:00,183762763572.12384,74880488294.86015,258643251866.984
2025-11-20 00:00:00,183700071934.62238,74643339219.06718,258343411153.68958
2025-11-21 00:00:00,184591758908.99014,73909788280.45352,258501547189.44366
2025-11-22 00:00:00,184703894075.64175,74040826913.06186,258744720988.7036
2025-11-23 00:00:00,184513624922.39407,74004667844.06729,258518292766.46136
2025-11-24 00:00:00,184450064025.40848,74068748779.50249,258518812804.91095
2025-11-25 00:00:00,184364174120.28717,74501543758.89574,258865717879.18292
2025-11-26 00:00:00,184483146090.68137,75168587746.09627,259651733836.77765
2025-11-27 00:00:00,184558481141.5772,75754672529.57784,260313153671.15503
2025-11-28 00:00:00,184564207381.05972,76024535653.55592,260588743034.61566
2025-11-29 00:00:00,184659967249.50595,76529002202.7604,261188969452.26636
2025-11-30 00:00:00,184678012913.09058,76543535518.57362,261221548431.66418
2025-12-01 00:00:00,184642693214.2226,76589515806.04205,261232209020.26465
2025-12-02 00:00:00,184606686821.1453,77509820034.28696,262116506855.43225
2025-12-03 00:00:00,184651818638.35516,77509490840.23564,262161309478.59082
2025-12-04 00:00:00,185357034454.79858,77812656340.26474,263169690795.06332
2025-12-05 00:00:00,185551970438.9393,78052939534.6978,263604909973.6371
2025-12-06 00:00:00,185563081663.07333,78062265665.87842,263625347328.95175
2025-12-07 00:00:00,185686266932.78265,78125782618.12518,263812049550.90784
2025-12-08 00:00:00,185692880290.29166,78177215513.57675,263870095803.8684
2025-12-09 00:00:00,185671906870.26855,78322005232.93845,263993912103.207
2025-12-10 00:00:00,185738221203.8327,78461039498.99965,264199260702.83234
2025-12-11 00:00:00,186094769376.64676,78247279770.47147,264342049147.11823
2025-12-12 00:00:00,186188230590.29712,78273133759.30103,264461364349.59814
2025-12-13 00:00:00,186249151423.14764,78479111692.53076,264728263115.6784
2025-12-14 00:00:00,186242557114.83234,78424700012.9138,264667257127.74615
2025-12-15 00:00:00,186286668583.92514,78400153698.20047,264686822282.1256
2025-12-16 00:00:00,186264086469.99362,78445964850.04926,264710051320.04288
2025-12-17 00:00:00,186312032469.20587,78315434993.7644,264627467462.97028
2025-12-18 00:00:00,186282760329.77426,78042840696.92249,264325601026.69675
2025-12-19 00:00:00,186202092308.7985,77331627180.34195,263533719489.14044
2025-12-20 00:00:00,186226677116.68268,77093596994.70663,263320274111.3893
2025-12-21 00:00:00,186773632481.95554,77077940358.12505,263851572840.08057
2025-12-22 00:00:00,186787106692.936,77107714886.00273,263894821578.93872
2025-12-23 00:00:00,186810914380.77274,77107982651.43582,263918897032.20856
2025-12-24 00:00:00,186827189365.3243,76915464264.76744,263742653630.09174
2025-12-25 00:00:00,186793465675.51428,76591043824.28026,263384509499.79456
2025-12-26 00:00:00,186791970834.21866,76476959213.82686,263268930048.04553
2025-12-27 00:00:00,186755060290.9574,76517544120.7733,263272604411.7307
2025-12-28 00:00:00,186731617227.19147,76474911697.4624,263206528924.65387
2025-12-29 00:00:00,186710944191.7638,76384734230.46066,263095678422.22446
2025-12-30 00:00:00,186622402821.9425,76016098863.74144,262638501685.68396
2025-12-31 00:00:00,187154085276.56702,76008223428.32848,263162308704.8955
2026-01-01 00:00:00,187087814456.25006,75371182421.47166,262458996877.72174
2026-01-02 00:00:00,186881197640.76086,75187332687.29697,262068530328.05783
2026-01-03 00:00:00,187028151245.34985,75338085489.51773,262366236734.86758
2026-01-04 00:00:00,187040826581.55585,75382811888.47682,262423638470.03265
2026-01-05 00:00:00,187033604127.80338,75441548669.84816,262475152797.65155
2026-01-06 00:00:00,187103572836.6614,75769878326.6978,262873451163.3592
2026-01-07 00:00:00,187031955233.17282,75749018875.95282,262780974109.12564
2026-01-08 00:00:00,186930057326.40845,75208766704.42323,262138824030.83167
2026-01-09 00:00:00,186936759077.0123,74977683650.8868,261914442727.8991
2026-01-10 00:00:00,186820832482.81674,74787856335.98029,261608688818.79703
2026-01-11 00:00:00,186725420234.34818,74713286205.17264,261438706439.5208
2026-01-12 00:00:00,186718468708.03577,74629591185.86687,261348059893.90265
2026-01-13 00:00:00,186728266708.03033,74341587408.56544,261069854116.59576
2026-01-14 00:00:00,186771850333.70477,75016056899.61877,261787907233.32355
2026-01-15 00:00:00,186839106905.32626,75806879075.3657,262645985980.69196
2026-01-16 00:00:00,186815349657.5701,75673057112.48198,262488406770.05206
2026-01-17 00:00:00,186794505781.4522,75985424473.90607,262779930255.35828
2026-01-18 00:00:00,186801806868.7753,76020188662.64745,262821995531.42273
2026-01-19 00:00:00,186927369421.50107,75956415747.38663,262883785168.8877
2026-01-20 00:00:00,186887286830.97342,75815735295.47107,262703022126.4445
2026-01-21 00:00:00,186799503247.3594,74927824593.92998,261727327841.28937
2026-01-22 00:00:00,186851423145.38486,74440160183.65816,261291583329.04303
2026-01-23 00:00:00,186739115367.89322,73725876877.11763,260464992245.01086
2026-01-24 00:00:00,186674668629.3653,72893696034.71667,259568364664.08197
2026-01-25 00:00:00,186632218279.99,72525746654.4399,259157964934.42987
2026-01-26 00:00:00,186711872137.79523,72391867384.72154,259103739522.51678
2026-01-27 00:00:00,186340326833.81772,72062863058.69075,258403189892.50848
2026-01-28 00:00:00,186293602721.5445,71545146183.63538,257838748905.17987
2026-01-29 00:00:00,186055690577.93094,71222533431.20903,257278224009.13995
2026-01-30 00:00:00,185567893600.27087,70300438185.34792,255868331785.61877
2026-01-31 00:00:00,185572421338.23502,70048084221.75757,255620505559.99258
