date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow
2024-10-06,423173,1.144561607221,1375.5053827626302,98027.63221132751,78941.82579899085,825.50624753,1069768,19085.806412336664
2024-10-07,441087,1.143005244567,2983.967504037126,342142.0019205835,330964.06198468345,825.50624753,1154423,11177.939935900038
2024-10-08,434713,1.152191148955,3106.0968277445927,282117.9025444204,267157.78237297246,825.50624753,1156248,14960.120171447925
2024-10-09,482632,1.126534025793,3075.9072619534386,235972.42667570952,247881.16687588784,825.50624753,1182083,-11908.74020017832
2024-10-10,454242,1.135256678728,1939.2795658830853,260982.122998782,224243.49260473208,825.50624753,1154738,36738.63039404992
2024-10-11,485939,1.158520987352,2614.8880243408303,371252.8141585072,391512.699935418,825.50624753,1227069,-20259.885776910756
2024-10-12,497572,1.174683810254,1917.0656646078448,148151.76375048383,142255.3459873647,825.50624753,1159085,5896.417763119127
2024-10-13,457774,1.16811464862,1743.4738085916797,121596.02742124804,117085.29553174652,825.50624753,1060369,4510.73188950152
2024-10-14,498392,1.232592985826,2696.3002245912835,277487.54082444013,286052.7531140941,825.50624753,1173591,-8565.212289653951
2024-10-15,516385,1.215839233138,2306.550886873248,440026.18759994314,457313.46179971134,825.50624753,1212877,-17287.274199768202
2024-10-16,491597,1.215894052308,1917.82269646754,348186.62067497155,354483.28543700126,825.50624753,1156834,-6296.664762029715
2024-10-17,543592,1.208897100385,2517.514187309511,347704.8986644836,328455.8178191265,825.50624753,1247886,19249.08084535715
2024-10-18,573519,1.219983721247,2946.387066537428,462063.26918324025,382699.3501808984,825.50624753,1330449,79363.91900234186
2024-10-19,599089,1.218799801378,1553.6362783742795,140581.6708189219,121023.19385113004,825.50624753,1250641,19558.476967791867
2024-10-20,533726,1.249686209742,1255.8221065021462,263740.0428064213,141879.8247714548,825.50624753,1177600,121860.2180349665
2024-10-21,538679,1.214588840843,1260.4310417999068,316192.5948917962,346482.6618753398,825.50624753,1185104,-30290.066983543627
2024-10-22,536229,1.194594929028417,1440.2230981464177,293002.99731384957,302642.4642164243,825.50624753,1181372,-9639.466902574757
2024-10-23,509138,1.155067454036448,1670.017797153345,356941.1013195266,353401.3355987021,825.50624753,1137763,3539.7657208245364
2024-10-24,502403,1.1598902282807555,1422.7872721567276,278332.67829686793,277246.3234991452,825.50624753,1132267,1086.3547977227136
2024-10-25,502861,1.1127051552581977,1183.4203530444424,717998.9135514491,752647.9445884173,825.50624753,1143624,-34649.03103696823
2024-10-26,505976,1.1435336348253091,863.6303678621093,178051.24377251763,176772.7325377134,825.50624753,1098532,1278.5112348042312
2024-10-27,431241,1.156380881507229,853.087180618331,143350.70117407688,126107.65829179404,825.50624753,965098,17243.04288228284
2024-10-28,458684,1.1808747269649869,1394.8676841148665,385079.229389064,423509.2641015615,825.50624753,1053714,-38430.034712497494
2024-10-29,523376,1.2098237225440531,1672.42797566949,652310.6821802708,447451.6779244472,825.50624753,1173025,204859.00425582356
2024-10-30,443016,1.2200777644314431,1902.5875141510069,413243.40202405234,488384.8333552656,825.50624753,1106479,-75141.43133121327
2024-10-31,485178,1.163333608161365,1437.4920854469633,334725.4300457021,388393.97851599514,825.50624753,1085336,-53668.548470293055
2024-11-01,481430,1.1620286789167675,1280.416926328773,391142.8936474212,386317.76780297345,825.50624753,1101047,4825.125844447757
2024-11-02,490886,1.1524494274291048,864.5051928311966,183683.31885752123,139057.31996998168,825.50624753,1073738,44625.99888753955
2024-11-03,502616,1.1391537668074323,849.2895409185079,164481.67532493625,144946.897420742,825.50624753,1114734,19534.777904194256
2024-11-04,464007,1.1171852548296557,979.558499377444,377439.91467782337,369377.74710646167,825.50624753,1121115,8062.1675713617005
2024-11-05,475308,1.1325210828433765,1088.1030466702948,586273.8359274325,481797.9410962751,825.50624753,1105923,104475.8948311574
2024-11-06,479645,1.247600875768067,2877.910782251458,669409.7508582153,639774.8132887678,825.50624753,1195439,29634.937569447444
2024-11-07,513491,1.3051343731405218,2343.5098649932797,571843.5653790652,595851.4917729836,825.50624753,1223300,-24007.926393918344
2024-11-08,525242,1.3229850267778922,1915.4171327462411,498944.3431220013,507897.8030242693,825.50624753,1228931,-8953.45990226802
2024-11-09,500755,1.38198976702826,1381.5689902660083,379555.48637233,451774.468483235,825.50624753,1154408,-72218.982110905
2024-11-10,524956,1.3857766526660595,2300.2878529184286,478088.47053483006,465346.7448868733,825.50624753,1211713,12741.725647956773
2024-11-11,561074,1.4338686004371437,3325.2476905362673,611258.6443626947,503271.3231274323,825.50624753,1276334,107987.32123526238
2024-11-12,545638,1.3750582593905416,3759.7561902611455,965558.4611637805,895624.2479573215,825.50624753,1288787,69934.21320645907
2024-11-13,527943,1.336994641633272,5646.47960358927,692180.0005604192,698529.143786517,825.50624753,1270183,-6349.143226097804
2024-11-14,548302,1.2765723775009714,3876.7891470381305,466978.48119715386,567261.6358458345,825.50624753,1284085,-100283.15464868065
2024-11-15,569301,1.282628319795974,2525.2020665726795,482787.45649425336,487555.9580165664,825.50624753,1244665,-4768.501522313047
2024-11-16,578354,1.2900959336491131,1763.413144180982,303210.12607377674,238291.83025933287,825.50624753,1241006,64918.295814443874
2024-11-17,569177,1.2633563692595517,1511.9806963641136,283111.4481476883,234368.77521326984,825.50624753,1204729,48742.67293441846
2024-11-18,532913,1.3022709928508711,1963.4396931834697,508510.6818436776,477461.2606180865,825.50624753,1229167,31049.421225591097
2024-11-19,545199,1.2720824614457735,2049.699571159083,400711.4473476312,417474.71706050873,825.50624753,1222473,-16763.269712877518
2024-11-20,562785,1.2602446517066512,1744.0323691370957,454823.583012809,437688.0043915652,825.50624753,1243428,17135.578621243767
2024-11-21,573282,1.3608068219271827,2208.921303099948,740512.2323631379,689433.6204663499,825.50624753,1266953,51078.611896788
2024-11-22,608783,1.3416223034177153,1681.1262881481236,820386.7051824752,731477.9948310863,825.50624753,1301173,88908.7103513889
2024-11-23,595219,1.3627748818933407,1794.912751780914,297310.9818880332,414067.0786737374,825.50624753,1277757,-116756.0967857042
2024-11-24,564490,1.345087654393256,1269.6542147790929,192025.4423012889,240851.500062406,825.50624753,1207132,-48826.05776111712
2024-11-25,584087,1.3575969424106102,1754.1275256728354,774704.7675732394,796558.0529850448,825.50624753,1292463,-21853.28541180538
