date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow,sopr
2022-06-30,967680,0.865015984997,17.00810933,54132.54426068,60921.48190467,251359920.5600924,275120,-6788.937643990001,0.9833
2022-07-01,946760,0.866810006703,18.17324786,53402.94818931,56067.42453103,196972102.43229663,272893,-2664.476341720001,0.993
2022-07-02,844916,0.862322030966,13.10583932,15900.70932989,17983.78558304,202851865.00959057,235532,-2083.0762531500004,0.9967
2022-07-03,701943,0.864908319377,9.53446424,17587.54913273,17611.51983325,227840863.90077135,196946,-23.97070051999981,0.9954
2022-07-04,883632,0.907445950743,14.3049814,27035.75728502,27787.33223659,210201571.9354594,251379,-751.5749515699972,0.9994
2022-07-05,864471,0.906388103368,19.58042321,28210.20235821,29795.19826971,173453043.65626052,244533,-1584.9959114999983,0.9975
2022-07-06,969280,0.924592307191,24.67085257,32307.80716302,44248.88313933,186599522.89308375,264360,-11941.07597631,0.9871
2022-07-07,1007259,0.973646516264,24.61107664,42067.99229842,43090.43810062,227523378.27089572,284162,-1022.4458021999963,0.9989
2022-07-08,936111,0.981374953634,22.39709481,37185.09807115,39801.85688404,214480636.8679379,264779,-2616.758812889995,0.998
2022-07-09,773277,0.97256585657,15.61982789,14447.30426675,13372.34546714,194191928.48263425,219088,1074.95879961,0.9884
2022-07-10,705622,0.938937826789,12.59707686,17110.78396435,17046.07858304,221726603.85028368,198306,64.70538131000285,0.997
2022-07-11,839927,0.903257154365,15.81462702,33050.50919815,31658.65561724,178250799.8693703,234215,1391.8535809099994,0.9863
2022-07-12,943773,0.875464077465,17.14982003,32226.21286034,35802.5376852,218828216.6399776,274945,-3576.3248248599957,0.9964
2022-07-13,815549,0.91248166822,23.81414434,28831.09752304,23514.72644199,159411284.0458004,225738,5316.3710810500015,0.9986
2022-07-14,983744,0.931267482062,31.14087707,25706.5936201,30790.37184522,179699992.43110403,282646,-5083.778225120001,0.9937
2022-07-15,943171,0.947404727073,25.8709279,41026.46574149,29564.50728804,205785475.23701975,267630,11461.958453449999,0.9801
2022-07-16,771028,0.963942951894,17.9556057,15085.2105257,12774.28949387,214480636.8679379,223950,2310.921031830001,1.0001
2022-07-17,723539,0.947388315858,15.71628374,26761.57081998,10805.60335307,179699992.43110403,201095,15955.967466909999,0.9981
2022-07-18,887138,1.014380417157,23.1208513,44289.31200712,43478.76535689,189844346.62375584,254873,810.5466502300042,1.0006
2022-07-19,994059,1.064015965884,26.44173796,60848.86244963,64492.89032033,199988700.81640768,279366,-3644.027870699996,0.9923
2022-07-20,905497,1.059545792317,25.4408358,31807.22453564,36506.82843139,182598379.64141008,254748,-4699.603895749999,1.0041
2022-07-21,964460,1.055572042956,24.49605718,101176.23376957,104417.3108943,198824710.56678495,278928,-3241.07712473,0.9909
2022-07-22,848578,1.037202359622,21.5286848,37517.12062215,29110.55598017,181711863.2994958,262220,8406.564641980003,0.9917
2022-07-23,755495,1.027767986307,12.95300963,14639.64677022,14317.74319754,211997172.19748572,219584,321.90357268000116,0.9947
2022-07-24,736224,1.035693112787,10.72791437,12020.13881048,17812.79965026,216126988.5789976,201963,-5792.660839779999,0.9979
2022-07-25,892636,0.984744106523,12.63441662,23428.5517031,28533.84376893,195477912.61837205,251613,-5105.292065829999,0.9937
2022-07-26,945582,0.970493939661,14.39558912,30818.61931642,30605.73347598,220256802.97819823,260791,212.88584044000163,0.9962
2022-07-27,916926,1.048530886503,12.70102031,25609.3920382,27109.17609888,227139827.63763636,265290,-1499.7840606800019,1.0014
2022-07-28,1008866,1.090974652069,15.94393098,43604.8775324,36965.96364011,194101308.4794089,283820,6638.913892290002,1.0032
2022-07-29,945142,1.096121570662,15.14116206,29970.40742128,33290.14503872,200984333.13884705,280447,-3319.7376174400015,1.0001
2022-07-30,785742,1.08119685014,12.20975627,13833.97348909,12765.89867405,177582046.91798395,228995,1068.0748150399995,1.001
2022-07-31,787873,1.06930792552,11.49215553,10628.64917095,12610.95720659,209243963.91955948,215224,-1982.3080356399987,0.9967
2022-08-01,907238,1.068081818605,14.15151466,30464.12154911,30061.29658936,187218281.8376596,248469,402.82495974999983,1.0
2022-08-02,946865,1.054827227962,15.41047824,30327.5443039,33978.50120146,213373778.31876007,267917,-3650.9568975600014,0.9977
2022-08-03,977386,1.044976588452,15.6220485,23839.66238861,27721.64868715,199607727.01757264,282580,-3881.9862985399996,0.9994
2022-08-04,948545,1.037537603272,17.31179787,21807.17709991,17973.45810528,183293576.20328617,278115,3833.7189946300023,0.9958
2022-08-05,944004,1.065899475533,19.70561752,26050.51214753,46515.20346438,210085555.7118224,269270,-20464.69131685,1.0
2022-08-06,856759,1.054367720796,13.26815456,14058.85290621,12454.23085476,225491829.9721472,232291,1604.62205145,0.9998
2022-08-07,716918,1.061585802404,11.19968388,14191.79496283,13395.03674335,222690689.0141953,199770,796.7582194799998,0.9998
2022-08-08,918162,1.091208903728,15.89323274,31333.09359051,27740.51838583,201682132.83796665,257482,3592.5752046800008,1.0006
2022-08-09,941249,1.064322658536,22.63063634,27305.40003535,26608.4200832,200281563.36740136,251924,696.9799521500026,0.994
2022-08-10,1035793,1.097349862382,19.4663578,33730.34599968,28213.66280226,207284414.7538705,270675,5516.6831974199995,1.0022
2022-08-11,1002846,1.098103095757,18.4381356,29638.71686764,30516.05977658,196079850.92206284,284126,-877.3429089400015,0.9999
2022-08-12,948381,1.118913448413,16.98546166,24065.40704343,26543.73471163,215687835.61090487,269215,-2478.3276681999996,1.0007
2022-08-13,834925,1.120303000575,11.68151403,14746.55779148,15359.63031342,194679281.45149755,239894,-613.072521940001,1.0004
2022-08-14,811197,1.1152866103,7.6854451,12068.4955761,17664.36659684,186275858.57764184,202156,-5595.871020739998,0.9986
2022-08-15,922140,1.105125221321,10.72646248,28625.95951819,30440.4502818,203082702.30853197,245572,-1814.4907636099997,0.9984
2022-08-16,1020819,1.095336349684,11.73698683,21095.32094618,20842.40708945,207284414.7538705,269531,252.91385672999968,0.9996
2022-08-17,915870,1.071575714816,15.55733617,30724.64978172,33244.29499489,180673576.661738,255933,-2519.645213169999,0.9974
2022-08-18,1009836,1.066480347068,14.79958235,24179.6634808,27367.54999674,202447354.27677864,292682,-3187.8865159399975,0.9986
2022-08-19,982140,0.962223516455,13.53336601,51810.85825253,47739.29619727,250867150.56061095,276337,4071.562055260001,0.9924
2022-08-20,841648,0.97348633387,8.94198715,13316.44727449,13342.46127638,209995535.8811957,226096,-26.014001890000145,0.9986
2022-08-21,753797,0.99226378976,7.8864978,10163.40988912,12496.89522867,205767438.51073447,201437,-2333.4853395500013,0.9992
2022-08-22,880923,0.981225385052,10.612358,23407.010552,23090.84567552,204358071.36758935,250080,316.1648764800011,0.9975
2022-08-23,930754,0.992293505064,11.45792651,21748.76558797,20245.69973958,242410953.7902015,257650,1503.0658483900006,0.9987
2022-08-24,930584,0.987637310218,9.95411646,21435.26300506,27105.73875803,205767438.51073447,260385,-5670.47575297,0.9981
2022-08-25,898274,0.995543286361,10.67640461,21608.40369585,28120.85380027,224089197.16521153,255143,-6512.450104420001,0.9975
